"Story","Title","Result","Date","Stability","Duration (s)"
"S'identifier","S'identifier","SUCCESS","11:58:00","0.0","10.49"
"Rechercher un produit","Rechercher le produit iphone X - Success","SUCCESS","11:07:29","0.0","5.85"
