"Story","Title","Result","Date","Stability","Duration (s)"
"Consulter les conditions de vente","Consulter les conditions de vente","FAILURE","10:59:16","0.0","12.93"
"Rechercher un produit","Rechercher le produit iphone X - Fail","FAILURE","11:07:22","0.0","6.44"
"Rechercher un produit","Rechercher le produit iphone X","FAILURE","11:03:32","0.0","6.34"
