"Story","Title","Result","Date","Stability","Duration (s)"
"Consulter les conditions de vente","Consulter les conditions de vente","FAILURE","10:59:16","0.0","12.93"
"Gérer son compte","Gérer son compte","ERROR","11:10:49","0.0","45.94"
"S'identifier","S'identifier","SUCCESS","11:58:00","0.0","10.49"
"Rechercher un produit","Rechercher le produit iphone X - Fail","FAILURE","11:07:22","0.0","6.44"
"Rechercher un produit","Rechercher le produit iphone X - Success","SUCCESS","11:07:29","0.0","5.85"
"Rechercher un produit","Rechercher le produit iphone X","FAILURE","11:03:32","0.0","6.34"
"Faire une recherche Google","Rechercher le site de Polytech Lille","ERROR","10:25:37","0.0","11.43"
